City;Day;High;Low;Precip.;Snow;Snow depth
Lansing;16-09-2017;84.0;59.0;0.00;0.00;0.00
Lansing;17-09-2017;88.0;62.1;0.00;0.00;0.00
Lansing;18-09-2017;79.0;57.9;0.00;0.00;0.00
Lansing;19-09-2017;72.0;55.9;0.06;0.00;0.00
Lansing;20-09-2017;87.1;66.0;0.00;0.00;0.00
Lansing;21-09-2017;95.0;66.0;0.44;0.00;0.00
Lansing;22-09-2017;93.9;64.9;0.00;0.00;0.00
Lansing;23-09-2017;93.0;64.0;0.00;0.00;0.00
Lansing;24-09-2017;91.9;62.1;0.00;0.00;0.00
Lansing;25-09-2017;91.9;64.9;0.00;0.00;0.00
Lansing;26-09-2017;91.9;63.0;0.00;0.00;0.00
Lansing;27-09-2017;73.9;53.1;0.09;0.00;0.00
Lansing;28-09-2017;70.0;46.9;0.00;0.00;0.00
Lansing;29-09-2017;69.1;46.9;0.06;-;0.00
Lansing;30-09-2017;64.9;39.0;0.00;0.00;0.00
